County_ID,State,County_Name,Less than a high school diploma,High_school,Associate_ degree,Bachelor's degree or higher
1001,AL,Autauga County,4204,12119,10552,10291
1003,AL,Baldwin County,14310,40579,46025,46075
1005,AL,Barbour County,4901,6486,4566,2220
1007,AL,Bibb County,2650,7471,3846,1813
1009,AL,Blount County,7861,13489,13267,5010
1011,AL,Bullock County,1760,2817,1582,945
1013,AL,Butler County,2141,6091,3421,2235
1015,AL,Calhoun County,12620,25653,26643,14219
1017,AL,Chambers County,4383,9060,7003,3118
1019,AL,Cherokee County,3692,7157,5417,2407
1021,AL,Chilton County,5302,13125,7147,4219
1023,AL,Choctaw County,1754,3606,2851,1225
1025,AL,Clarke County,3175,7372,4205,2118
1027,AL,Clay County,2275,3366,2700,944
1029,AL,Cleburne County,2364,4135,2518,1428
1031,AL,Coffee County,4833,9723,12181,8175
1033,AL,Colbert County,6016,13927,11459,7236
1035,AL,Conecuh County,1703,4315,1881,949
1037,AL,Coosa County,1675,3178,2424,953
1039,AL,Covington County,4530,9368,8588,3952
1041,AL,Crenshaw County,2091,3753,2326,1505
1043,AL,Cullman County,10405,20382,18559,7866
1045,AL,Dale County,4732,10924,12036,5690
1047,AL,Dallas County,5135,9368,8076,4021
1049,AL,DeKalb County,12394,15956,13441,6085
1051,AL,Elmore County,7594,18304,16197,13664
1053,AL,Escambia County,4792,11546,6340,3287
1055,AL,Etowah County,11147,23665,24416,12767
1057,AL,Fayette County,2060,4868,3273,1516
1059,AL,Franklin County,4835,7666,5632,2679
1061,AL,Geneva County,3891,6924,5720,2063
1063,AL,Greene County,1406,2149,1689,589
1065,AL,Hale County,1647,4292,2711,1421
1067,AL,Henry County,2412,4081,3487,2187
1069,AL,Houston County,10261,22680,23681,15076
1071,AL,Jackson County,6526,15181,10238,5280
1073,AL,Jefferson County,46025,120037,137208,145462
1075,AL,Lamar County,1741,3950,2967,1235
1077,AL,Lauderdale County,7979,22812,17453,15185
1079,AL,Lawrence County,4919,9710,6028,2738
1081,AL,Lee County,9049,22855,30707,32377
1083,AL,Limestone County,10123,19463,18341,16367
1085,AL,Lowndes County,1588,2722,1750,996
1087,AL,Macon County,2215,3658,3752,2510
1089,AL,Madison County,21617,50768,69750,101650
1091,AL,Marengo County,2192,5378,3869,2084
1093,AL,Marion County,4343,7435,6770,2806
1095,AL,Marshall County,12151,19818,19442,12233
1097,AL,Mobile County,38247,92986,82763,63703
1099,AL,Monroe County,2409,6805,3464,2078
1101,AL,Montgomery County,21646,38289,41976,48131
1103,AL,Morgan County,13706,24350,26356,17849
1105,AL,Perry County,1275,2293,1334,913
1107,AL,Pickens County,2829,5352,4425,1959
1109,AL,Pike County,3660,6405,4657,4536
1111,AL,Randolph County,3340,5719,4329,2350
1113,AL,Russell County,6495,12583,13434,6438
1115,AL,St. Clair County,9255,21865,19587,9991
1117,AL,Shelby County,11258,29106,42634,60424
1119,AL,Sumter County,1238,2969,1936,1715
1121,AL,Talladega County,10671,19607,17827,8017
1123,AL,Tallapoosa County,5581,9402,8355,5244
1125,AL,Tuscaloosa County,14748,38097,36040,38669
1127,AL,Walker County,8606,16685,14479,5204
1129,AL,Washington County,2243,4954,2996,1276
1131,AL,Wilcox County,1662,2903,1738,901
1133,AL,Winston County,3755,6420,4683,2326
2013,AK,Aleutians East Borough,358,1061,882,336
2016,AK,Aleutians West Census Area,459,1664,1309,675
2020,AK,Anchorage Municipality,11867,45753,66655,67719
2050,AK,Bethel Census Area,1798,4371,2314,1194
2060,AK,Bristol Bay Borough,36,225,240,144
2068,AK,Denali Borough,25,418,461,697
2070,AK,Dillingham Census Area,370,1138,835,559
2090,AK,Fairbanks North Star Borough,3381,13785,24520,20152
2100,AK,Haines Borough,57,561,553,701
2105,AK,Hoonah-Angoon Census Area,143,598,546,393
2110,AK,Juneau City and Borough,878,4584,8138,8879
2122,AK,Kenai Peninsula Borough,2902,12989,15008,9378
2130,AK,Ketchikan Gateway Borough,701,2865,3671,2343
2150,AK,Kodiak Island Borough,889,2747,2863,2285
2158,AK,Kusilvak Census Area,880,2117,760,190
2164,AK,Lake and Peninsula Borough,123,356,237,134
2170,AK,Matanuska-Susitna Borough,5068,21381,25899,14073
2180,AK,Nome Census Area,872,2347,1457,799
2185,AK,North Slope Borough,666,2797,1968,1079
2188,AK,Northwest Arctic Borough,759,1982,956,489
2195,AK,Petersburg Census Area,219,680,647,589
2198,AK,Prince of Wales-Hyder Census Area,440,1668,1577,787
2220,AK,Sitka City and Borough,371,1741,2026,2004
2230,AK,Skagway Municipality,51,189,296,273
2240,AK,Southeast Fairbanks Census Area,436,1451,1717,851
2261,AK,Valdez-Cordova Census Area,259,2111,2114,1981
2275,AK,Wrangell City and Borough,219,705,563,388
2282,AK,Yakutat City and Borough,37,173,151,90
2290,AK,Yukon-Koyukuk Census Area,496,1394,1108,463
4001,AZ,Apache County,9085,14708,15444,5189
4003,AZ,Cochise County,11215,20560,35576,20116
4005,AZ,Coconino County,8515,17604,26746,29254
4007,AZ,Gila County,5718,11144,14867,7226
4009,AZ,Graham County,3379,7028,9526,3598
4011,AZ,Greenlee County,658,2155,2433,709
4012,AZ,La Paz County,3606,5248,5084,1972
4013,AZ,Maricopa County,354513,634810,923098,899070
4015,AZ,Mohave County,22957,54288,58539,20104
4017,AZ,Navajo County,11963,20957,25708,11025
4019,AZ,Pima County,79230,152408,230498,216291
4021,AZ,Pinal County,41961,85546,105949,54794
4023,AZ,Santa Cruz County,7127,7957,8006,6138
4025,AZ,Yavapai County,16623,44214,67706,43270
4027,AZ,Yuma County,36452,33924,41128,19315
5001,AR,Arkansas County,2121,4774,3646,1937
5003,AR,Ashley County,2465,5563,4066,1838
5005,AR,Baxter County,3747,11090,11007,5802
5007,AR,Benton County,20120,49182,44756,54780
5009,AR,Boone County,3375,8779,9652,4145
5011,AR,Bradley County,1352,3120,1880,1142
5013,AR,Calhoun County,649,1636,1013,452
5015,AR,Carroll County,2788,6788,6055,4015
5017,AR,Chicot County,1451,2954,2012,1110
5019,AR,Clark County,1422,4021,4090,3642
5021,AR,Clay County,2047,4363,2944,1228
5023,AR,Cleburne County,2865,7630,5464,2796
5025,AR,Cleveland County,649,2689,1438,920
5027,AR,Columbia County,2210,5880,3602,3028
5029,AR,Conway County,2059,6333,3871,2329
5031,AR,Craighead County,7370,23120,19413,17809
5033,AR,Crawford County,6227,15708,13588,6432
5035,AR,Crittenden County,5461,10890,9132,5607
5037,AR,Cross County,1974,4768,2964,1771
5039,AR,Dallas County,862,2284,1401,721
5041,AR,Desha County,1677,3487,1772,984
5043,AR,Drew County,1744,4150,3414,2420
5045,AR,Faulkner County,6483,22846,22986,22472
5047,AR,Franklin County,2106,4844,3701,1423
5049,AR,Fulton County,1364,3282,3140,1043
5051,AR,Garland County,8243,22357,26033,14335
5053,AR,Grant County,1065,5517,3625,2287
5055,AR,Greene County,3767,13130,8074,4734
5057,AR,Hempstead County,2734,5317,4161,2178
5059,AR,Hot Spring County,3495,9489,7464,3526
5061,AR,Howard County,1515,3312,2733,1308
5063,AR,Independence County,3577,9016,7804,4754
5065,AR,Izard County,1511,3825,3393,1397
5067,AR,Jackson County,2600,5061,3408,1254
5069,AR,Jefferson County,6620,18270,14074,8432
5071,AR,Johnson County,3565,7124,3860,2735
5073,AR,Lafayette County,909,2055,1192,821
5075,AR,Lawrence County,1636,4551,3393,1696
5077,AR,Lee County,1831,2770,1578,607
5079,AR,Lincoln County,1910,5127,2259,903
5081,AR,Little River County,1041,3758,2989,1003
5083,AR,Logan County,2278,6875,4284,1846
5085,AR,Lonoke County,5363,16675,15846,9639
5087,AR,Madison County,2242,5037,2382,1375
5089,AR,Marion County,1636,4583,4091,2148
5091,AR,Miller County,4170,10680,9967,4934
5093,AR,Mississippi County,5305,10630,8066,3521
5095,AR,Monroe County,1168,2199,1205,537
5097,AR,Montgomery County,1461,2450,2075,722
5099,AR,Nevada County,787,2605,1644,916
5101,AR,Newton County,994,2338,1468,927
5103,AR,Ouachita County,2412,6958,4675,2671
5105,AR,Perry County,1202,2938,2226,858
5107,AR,Phillips County,2665,3709,4236,1729
5109,AR,Pike County,1153,2946,2364,1113
5111,AR,Poinsett County,3161,7228,4289,1643
5113,AR,Polk County,2166,5275,4789,1872
5115,AR,Pope County,6117,14318,11064,8860
5117,AR,Prairie County,1062,2390,1617,903
5119,AR,Pulaski County,25441,69644,80333,90726
5121,AR,Randolph County,2121,4362,4066,1719
5123,AR,St. Francis County,3550,7120,5723,1947
5125,AR,Saline County,7790,25636,26748,21234
5127,AR,Issaquena County,1468,2984,1858,631
5129,AR,Searcy County,902,2622,1562,728
5131,AR,Sebastian County,14230,27083,26577,16641
5133,AR,Sevier County,2752,3859,2858,1232
5135,AR,Sharp County,2027,5176,3734,1397
5137,AR,Stone County,1869,3323,2790,1173
5139,AR,Union County,4129,9543,7769,5638
5141,AR,Van Buren County,1741,5387,3412,1730
5143,AR,Washington County,20771,36295,35712,45385
5145,AR,White County,7454,19564,13034,10878
5147,AR,Woodruff County,943,2008,1202,569
5149,AR,Yell County,2892,5923,3721,1963
6001,CA,Alameda County,139234,203838,281631,531701
6003,CA,Alpine County,87,225,237,235
6005,CA,Amador County,2864,8461,12198,5997
6007,CA,Butte County,15823,33611,59196,39260
6009,CA,Calaveras County,3332,9557,15239,6474
6011,CA,Colusa County,4174,3225,4132,2103
6013,CA,Contra Costa County,82574,136610,233998,324337
6015,CA,Del Norte County,3684,6131,6840,2782
6017,CA,El Dorado County,9299,28621,51399,45397
6019,CA,Fresno County,147389,136851,188858,123407
6021,CA,Glenn County,4426,5058,5956,2484
6023,CA,Humboldt County,8878,21615,34073,27380
6025,CA,Imperial County,33928,26758,32850,15802
6027,CA,Inyo County,1478,3883,4431,3452
6029,CA,Kern County,139584,147239,159525,85752
6031,CA,Kings County,24270,23540,32073,12438
6033,CA,Lake County,6872,13951,18247,7324
6035,CA,Lassen County,3853,7444,8396,2697
6037,CA,Los Angeles County,1460718,1416482,1790808,2177481
6039,CA,Madera County,27278,24249,31404,14084
6041,CA,Marin County,12883,20858,44782,112018
6043,CA,Mariposa County,1316,3622,5524,3197
6045,CA,Mendocino County,8101,15925,22532,15241
6047,CA,Merced County,48433,40839,46711,22051
6049,CA,Modoc County,974,2185,2536,1078
6051,CA,Mono County,1131,2290,3545,3076
6053,CA,Monterey County,78816,56133,72422,67157
6055,CA,Napa County,14670,17644,31629,34277
6057,CA,Nevada County,4386,13945,29692,27754
6059,CA,Orange County,320340,368858,604676,857638
6061,CA,Placer County,14403,48289,100446,102345
6063,CA,Plumas County,874,3638,6528,3390
6065,CA,Riverside County,280295,411949,504267,333718
6067,CA,Sacramento County,127852,225825,350480,308126
6069,CA,San Benito County,7658,9440,13492,7486
6071,CA,San Bernardino County,272865,352296,436563,270028
6073,CA,San Diego County,286008,409272,680074,848022
6075,CA,San Francisco County,79408,84630,131509,394004
6077,CA,San Joaquin County,96905,129211,147635,84486
6079,CA,San Luis Obispo County,17123,37163,68352,64923
6081,CA,San Mateo County,59339,82174,132756,273630
6083,CA,Santa Barbara County,52042,49059,80080,92634
6085,CA,Santa Clara County,157687,191695,294921,679498
6087,CA,Santa Cruz County,24323,28222,54710,71610
6089,CA,Shasta County,11606,31314,55236,27995
6091,CA,Sierra County,156,620,1118,436
6093,CA,Siskiyou County,3181,8118,13330,7163
6095,CA,Solano County,36031,69822,115304,78496
6097,CA,Sonoma County,42831,67183,123081,124873
6099,CA,Stanislaus County,73664,97071,111660,57523
6101,CA,Sutter County,13697,14879,22621,11024
6103,CA,Tehama County,6766,13319,16540,6709
6105,CA,Trinity County,932,3325,3744,1965
6107,CA,Tulare County,81345,69974,79261,38493
6109,CA,Tuolumne County,3936,11680,17269,8238
6111,CA,Ventura County,88185,107135,183807,187558
6113,CA,Yolo County,17180,23271,33180,52424
6115,CA,Yuba County,8478,10898,19959,7866
8001,CO,Adams County,54079,90409,98693,74958
8003,CO,Alamosa County,1287,2598,3157,2484
8005,CO,Arapahoe County,32895,89231,126707,181360
8007,CO,Archuleta County,781,2102,3101,3813
8009,CO,Baca County,398,714,923,577
8011,CO,Bent County,646,2208,1120,565
8013,CO,Boulder County,10380,25800,46104,127566
8014,CO,Broomfield County,1460,6667,12122,25209
8015,CO,Chaffee County,1070,4038,4930,5068
8017,CO,Cheyenne County,125,460,427,253
8019,CO,Clear Creek County,123,1536,2270,3416
8021,CO,Conejos County,711,1717,1804,1069
8023,CO,Costilla County,579,640,956,514
8025,CO,Crowley County,590,1615,1297,372
8027,CO,Custer County,253,754,1261,1324
8029,CO,Delta County,2130,8446,6857,4700
8031,CO,Denver County,64043,84265,110388,237877
8033,CO,Dolores County,115,539,454,300
8035,CO,Douglas County,4347,26287,59981,124635
8037,CO,Eagle County,4075,5979,9672,18316
8039,CO,Elbert County,595,4374,6449,6388
8041,CO,El Paso County,27792,89218,157396,167680
8043,CO,Fremont County,3539,14477,11733,6625
8045,CO,Garfield County,4740,11076,11329,11651
8047,CO,Gilpin County,114,1035,1731,1820
8049,CO,Grand County,512,3016,3556,4306
8051,CO,Gunnison County,296,1687,2738,5832
8053,CO,Hinsdale County,45,186,176,318
8055,CO,Huerfano County,442,1486,2136,1106
8057,CO,Jackson County,120,287,398,163
8059,CO,Jefferson County,22840,84351,121561,180236
8061,CO,Kiowa County,39,361,347,204
8063,CO,Kit Carson County,622,2033,1714,1017
8065,CO,Lake County,792,1482,1333,1858
8067,CO,La Plata County,1966,7980,12102,17223
8069,CO,Larimer County,9389,42507,66792,102473
8071,CO,Las Animas County,1270,2998,4101,2053
8073,CO,Lincoln County,393,2164,995,520
8075,CO,Logan County,1540,4816,5352,3028
8077,CO,Mesa County,10188,28023,36303,28155
8079,CO,Mineral County,23,138,269,286
8081,CO,Moffat County,803,3570,2960,1514
8083,CO,Montezuma County,1921,5361,5739,5207
8085,CO,Montrose County,3304,9337,9719,7017
8087,CO,Morgan County,3657,5709,5758,3231
8089,CO,Otero County,1797,3588,4714,2172
8091,CO,Ouray County,62,699,1213,1866
8093,CO,Park County,401,4056,4995,4094
8095,CO,Phillips County,336,786,1001,726
8097,CO,Pitkin County,501,2025,2516,8606
8099,CO,Prowers County,1399,2027,3040,1365
8101,CO,Pueblo County,11814,32066,43446,24568
8103,CO,Rio Blanco County,301,1406,1616,843
8105,CO,Rio Grande County,1203,2312,2332,1818
8107,CO,Routt County,595,3613,4871,9232
8109,CO,Saguache County,919,1399,1306,1074
